titulos,fechas,temas,autores,subtitulos,articulos,url
Las recomendaciones del Icfes para presentar las pruebas de Estado que se harán este domingo,"viernes, 16 de octubre de 2020",EDUCACIÓN,Lina Vargas Vega - lvargas@larepublica.com.co,Los estudiantes de calendario B de último grado presentarán la prueba Saber 11 y los grados noveno y décimo la Pre Saber de manera presencial o electrónica,"Este semestre las pruebas de Estado se llevaran a cabo de manera presencial y teniendo en cuenta la coyuntura, el Icfes ha dispuesto todos los protocolos de bioseguridad necesarios para garantizar la disminución de riesgo de contagio por covid-19.
Los estudiantes degrado once deberán asistir según la citación asignada a una institución donde se realice la prueba. Sin embargo, los estudiantes de noveno y décimo podrán elegir si tomar el examen de manera presencial el próximo domingo 18 o virtual entre el 19 y 21 de octubre a través de este link: https://www.icfes.gov.co/web/guest/aplicacion-electronica-pre-saber-11
Las personas que vayan a presentar la prueba Pre Saber y estén asignados a un lugar presencial pero deseen tomar la prueba de manera virtual, podrán hacerlo en diciembre en el marco de las pruebas de Estado para calendario A.
Estamos preparados para brindar todas las acciones necesarias para desarrollar una aplicación de pruebas de Estado, dentro de la nueva realidad que vivimos. Aplicaremos estrictamente el Protocolo de Bioseguridad presentado por el Icfes y adoptado por el Ministerio de Salud. Serán 7.267 salones, en 381 sitios de aplicación en 82 municipios del país, lo que garantizará un número reducido de aplicandos por salón y una distancia de dos metros entre cada uno, además, de todas las medidas de bioseguridad establecidas por el Gobierno Nacional”, sostuvo la directora general del Icfes, Mónica Ospina Londoño.
Protocolos de bioseguridad
Durante las prueba, las puertas y ventanas permanecerán abiertas, los puestos de los estudiantes tendrán el adecuado distanciamiento de dos metros, se tomará la temperatura a la entrada, hay lavamanos, jabón bacteriano, toallitas dispuestos para propiciar el lavado de manos, además habrá aire acondicionado para mejorar la ventilación de los salones. El uso de tapabocas será obligatorio.",https://www.larepublica.co/economia/tenga-en-cuenta-las-recomendaciones-del-icfes-para-presentar-las-pruebas-de-estado-este-domingo-3074921
"""Se debe tener un equilibrio que asegure el acceso a un servicio público de calidad""","jueves, 15 de octubre de 2020",ENERGÍA,Margarita Coneo Rincón - mconeo@larepublica.com.co,"Afirmó Jorge Valencia, director de la CREG, en medio de una conferencia virtual sobre los desafíos en medio de la pandemia","La conferencia virtual 'Desafíos de la política de mejora normativa en tiempos de pandemia' organizada por el Departamento Nacional de Planeación (DNP), la Universidad del Bosque y la Universidad de los Andes tuvo como invitado a Jorge Valencia, director de la CREG, quien explicó las medidas que han puesto en marcha desde la entidad para mitigar el impacto económico y social de la pandemia.
ARTÍCULO RELACIONADODepartamento de comercio de Estados Unidos agrega 24 firmas chinas a lista de restricciones“La normatividad que expide la Comisión de Regulación de Energía y Gas (CREG) debe tener un equilibrio que asegure el acceso a un servicio público de calidad y a costos eficientes para los usuarios, y que, permita la sostenibilidad de las empresas”, aseguró Jorge Valencia, director de la CREG, en la conferencia virtual, “Desafíos de la política de mejora normativa en tiempos de pandemia”.
Según Valencia, lo primero que se debía resolver al inicio del aislamiento preventivo era cómo hacer para reactivarles el servicio a las familias que no contaban con energía ni gas por dificultades en el pago de las facturas, sin afecta la estabilidad financiera de las empresas prestadores del servicio.
ARTÍCULO RELACIONADOJeff Bezos agrega un récord de US$13.000 millones a su fortuna en un solo díaAgregó que uno de los principales logros fue lograr acuerdos con las entidades para financiar las facturas, reconectar a los usuarios y congelar las tarifas a fin de que se pudiera asegurar el acceso a los mismos y darles facilidades de pago a los usuarios que enfrentarían difíciles situaciones económicas. 
“Teníamos que actuar rápido en tiempo de emergencia, por lo que, la principal lección que nos dejó esta experiencia es que a futuro todos los reguladores debemos adaptar herramientas más abiertas en la regulación para reaccionar de manera más rápida y dejar de pensar en una normatividad rígida”, dijo el funcionario.",https://www.larepublica.co/economia/se-debe-tener-un-equilibrio-que-asegure-el-acceso-a-un-servicio-publico-de-calidad-3074876
Conpes contempla inversión por $170 billones para la reactivación económica a 2026,"viernes, 16 de octubre de 2020",HACIENDA,Juan Sebastian Amaya,"En un borrador se plantean los compromisos y programas para la recuperación del empleo, inversión en el campo y desarrollo sostenible","ARTÍCULO RELACIONADOLos cierres focalizados en Bogotá y Medellín frenaron reactivación del sector manufactureroEl Consejo Nacional de Política Económica y Social (Conpes) emitió el borrador del programa de política para la reactivación económica y el crecimiento sostenible, con el que pretende superar la crisis que generó la pandemia en materia de ingresos, empleo, pobreza, deuda y consumo, entre otros.
ARTÍCULO RELACIONADOAnif y Fedesarrollo coinciden en importancia de reforma tributaria para la reactivaciónEn principio, el documento explica que la reactivación económica contempla inversiones por $170 billones que se distribuyen según cada uno de los pilares a las cuales pertenezcan los proyectos priorizados.
ARTÍCULO RELACIONADO“La reforma tributaria permitiría que las calificadoras no nos quiten el grado de inversión”Para la reactivación del empleo, el valor estimado de estas inversiones asciende a cerca de 13% del Producto Interno Bruto (PIB), es decir, un promedio de $13 billones.
ARTÍCULO RELACIONADOPara el Emisor, sin otra tributaria y venta de activos la deuda llegaría a 70% del PIBOtro proyecto de gran importancia para el desarrollo regional y la competitividad local es el Programa de Vías para la Legalidad y la Reactivación. Este programa priorizó 21 tramos viales en 18 departamentos (Mapa 2). El total de kilómetros a ser intervenidos es de 1.208 con una inversión de $9,19 billones entre 2021 y 2030 y su ejecución estará a cargo del Instituto Nacional de Vías (Invías).
Dentro la estrategia de inversión para el crecimiento limpio y autosostenible, se esperan destinar cerca de 8% del valor total de recursos de reactivación ($13,6 billones en promedio), priorizando la puesta en marcha de más de 30 proyectos donde se destacan dos enfoques de promoción de fuentes de energía renovable, y restauración y protección del medio ambiente.
Para el compromiso de la protección de los más pobres y vulnerables, la idea es apalancar recursos de distintas fuentes para lograr invertir más de $18 billones.
Para el compromiso del campo y paz con legalidad la iniciativa busca que, en total, sean seleccionados más de 80 proyectos en distintas regiones sumando alrededor de $2,5 billones.
El compromiso de salud integra cinco proyectos enfocados a la atención de la emergencia sanitaria que enfrenta el país. Para ello, el plan de inversiones destina recursos para los años 2021 y 2022, que representan cerca de 0,4 % del total dirigido a la reactivación ($700.000 millones aproximadamente).
Para el compromiso con la generación de empleo, 50% de los recursos cuentan con inversión privada. En el caso del compromiso con crecimiento limpio y sostenible, la mayor parte de los recursos provienen de inversión privada (69%), seguidos de 30% de inversión público-privada. Por su parte, 29% de la financiación para llevar a cabo el compromiso con los más pobres y vulnerables proviene de transferencias.
En lo que respecta al compromiso con el campo y paz con legalidad, 40% de sus inversiones provienen de recursos públicos. Para el compromiso con la salud, 32% de sus recursos provienen de inversión pública.
""El objetivo general de la política para la reactivación es desarrollar capacidades en los hogares, el sector productivo y el marco institucional para que, en el corto plazo, el sistema pueda retomar la ruta de desarrollo que estaba recorriendo cuando fue golpeado por el covid-19 y que, en el largo plazo, transite hacia un crecimiento más sostenible que además tenga la habilidad para responder adecuadamente a choques futuros de gran impacto"", dice el documento.",https://www.larepublica.co/economia/conpes-contempla-inversion-por-170-billones-para-la-reactivacion-economica-a-2026-3075000
Los cierres focalizados en Bogotá y Medellín frenaron reactivación del sector manufacturero,"viernes, 16 de octubre de 2020",INDUSTRIA,Juan Sebastian Amaya,"Debido a las restricciones de ferias, venta de licores, movilidad y transporte hubo menor demanda y producción en agosto, lo que llevó a la industria a caer 10,3%","ARTÍCULO RELACIONADODos pobres que viven en el campo y en las zonas rurales ganan menos que uno solo en BogotáLa reactivación gradual en la operación de varios sectores viene mostrando resultados positivos en materia de empleo, consumo, oferta y demanda. Sin embargo, debido a las restricciones focalizadas que Bogotá y Medellín implementaron en agosto por la emergencia sanitaria, la recuperación en la producción y ventas del sector manufacturero se frenó.
Gráfico LR
ARTÍCULO RELACIONADOAntes del virus covid-19, había más de 17 millones de colombianos en pobreza monetariaEl Departamento Administrativo Nacional de Estadística (Dane) detalló que, durante el octavo mes de 2020, la producción industrial registró una variación anual de -10,3% y las ventas, de -9%. De ese -10,3% total, las dos ciudades explican 50% de la contracción. Bogotá tuvo una baja de 17,4% en la producción y -16,6% en las ventas; mientras que Antioquia bajó su producción en 12,2% y 10,5%, respectivamente.
ARTÍCULO RELACIONADOEl Dane informó que en 2019 entraron 661.899 personas a la pobreza monetaria“Aproximadamente, 50% de la contracción estuvo concentrada en Bogotá y Antioquia. Para responder de forma concreta si hay una sobrecontracción en esos dos dominios geográficos, observamos que ese 50% se leía como 40% en julio y eso significa que hay una señal clara de que las medidas sanitarias más estrictas llevaron a tener una contracción más que proporcional”, comentó el director del Dane, Juan Daniel Oviedo.
A nivel nacional, las actividades con mayor rezago fueron las de elaboración de bebidas, con, -16,8%; la confección de prendas de vestir, con -30,9%; y la coquización, refinación de petróleo y mezcla de combustibles, con -14%. Al juntar el efecto en estos tres sectores se explica 41% del impacto total de las manufacturas.
Para el funcionario, debido a que en junio, julio y agosto hay una estacionalidad particular porque en años anteriores han existido festivales y ferias que generan una demanda importante de bebidas y licores, pero que en 2020 no se efectuaron por la pandemia, la industria de estas actividades fue la más golpeada con dos puntos básicos (pb) de 10,3% que cayeron las manufacturas.
“Están los festivales de San Juan, San Pedro, la Feria de las Flores, Colombiamoda y otros escenarios que generan una demanda particular que no se causó en agosto por las cuarentenas estrictas y la restricción de bebidas alcohólicas”, mencionó.
Para el caso de Bogotá, -17,2% en la producción de manufacturas se debió a una disminución de 6 pb en la elaboración de bebidas y de 3,1 pb en los textiles y confecciones, es decir, las dos actividades pesaron 50% en la dinámica de la capital.
Finalmente, el Dane proyectó que, para septiembre, la contracción de las manufacturas será menor y habrá una reactivación al contar con más de 90% de las actividades operando, especialmente, la elaboración de bebidas, movilidad, combustibles, transporte y venta y reparación de vehículos.
“Nuestro modelo actualizado nos lleva a anunciar que la predicción para el comportamiento de las manufacturas en septiembre sería centrada en una contracción de -4,6%”, puntualizó.
LOS CONTRASTESSharon VargasAnalista en Global Securities“En agosto aún había restricciones y eso se vio muy reflejado en la producción, pero para septiembre se espera que todas las variables comiencen a tener un repunte marcado y razonable”.Sebastián DíazAnalista macroeconómico de Pacífico Research""Dado que en la industria no es posible atribuir un efecto sustancial relacionado con el día sin IVA, resulta más claro el impacto de las medidas de aislamiento sobre la actividad productiva""
Sebastián Díaz, analista macroeconómico de Pacífico Research, destacó que hubo un comportamiento diferenciado por sectores ante la coyuntura y también pronosticó más recuperaciones en lo que resta del año.
“La magnitud de la contracción nos tomó por sorpresa. Esperamos que con un mayor grado de desconfinamiento a partir de septiembre retome fuerza el proceso de avance en la actividad económica. Resulta más claro el impacto de las medidas de aislamiento sobre la actividad productiva”, analizó.",https://www.larepublica.co/economia/los-cierres-focalizados-en-bogota-y-medellin-frenaron-reactivacion-del-sector-manufacturero-3074553
"La Dian recaudó $15,1 billones en septiembre y acumuló $112,2 billones en lo que va del año","viernes, 16 de octubre de 2020",HACIENDA,Juan Sebastian Amaya,"La entidad detalló que, con estos números del octavo mes de 2020, mantiene un cumplimiento de 100,6% en su nueva meta propuesta","ARTÍCULO RELACIONADOLa Dian abrirá una convocatoria de empleo por mérito con 1.500 puestos de trabajoLa Dirección de Impuestos y Aduana Nacionales (Dian) informó que el recaudo de impuestos durante septiembre fue de $15,1 billones, de los cuales $5,51 billones correspondieron al IVA (36,4% de aporte al total).
ARTÍCULO RELACIONADOLa Dian anunció que en agosto el recaudo bruto de los impuestos fue superior a $8,36 billonesLos tributos con Tidis-Títulos de Devolución de Impuestos sumaron $2,37 millones, los impuestos asociados a la actividad económica interna $13,18 billones, la retención en la fuente a título de renta $4 billones y los tributos
asociados al comercio exterior $1,93 billones.
ARTÍCULO RELACIONADO“Habrá un revolcón tecnológico en el sistema de la Dian con inversión de US$250 millones”Entre tanto, el recaudo acumulado entre enero y septiembre llegó a $112,24 billones, lo que corresponde a una meta de cumplimiento de 100,6%.
En lo que va del año, el recaudo por impuesto de renta y complementarios
aportó 47,5% del total, distribuidos en $37,77 billones en la retención en la fuente a título de renta y $15,65 billones en declaraciones de renta.
Los tributos asociados al comercio exterior sumaron $17 billones, los Tidis $11,5 billones y el IVA y demás impuestos en $30,3 billones.",https://www.larepublica.co/economia/la-dian-recaudo-151-billones-en-septiembre-y-acumulo-1122-billones-en-lo-que-va-del-ano-3075197
Corte tumbó los planes de alivios a contribuyentes morosos de entes territoriales,"jueves, 15 de octubre de 2020",HACIENDA,Margarita Coneo Rincón - mconeo@larepublica.com.co,También se quitarían los alivios a agentes retenedores y quienes deban multas a  los entes territoriales a fin de generar más liquidez,"El artículo séptimo de la Ley 678 de 2020 de la emergencia económica y social fue tumbado hoy por la Corte Constitucional pues según argumentan en esta época de pandemia el Estado necesita generar mayor liquidez monetaria.
Tal artículo establece las medidas para la gestión tributaria, financiera y presupuestal de las entidades territoriales, en las que se contemplan apoyos y ayudas económicas para contribuyentes, agentes retenedores y quienes deban multas a los entes territoriales.
ARTÍCULO RELACIONADOLa banca comercial ya ha entregado alivios financieros a 38,2% del total de las deudasAsí las cosas, el Tribunal estableció que hasta el 31 de octubre se pagará 80% del capital sin intereses ni sanciones; entre el 1 de noviembre de 2020 y hasta el 31 diciembre del mismo año se pagará 90% del capital sin intereses ni sanciones; y entre el 1 de enero de 2021 y hasta el 31 de mayo de 2021 se pagará 100% del capital sin intereses ni sanciones.
De igual forma, se quitó a los gobernadores y alcaldes la posibilidad de diferir el pago de las obligaciones tributarias de los contribuyentes bajo el argumento de la emergencia económica y social en el marco de la pandemia.",https://www.larepublica.co/economia/corte-constitucional-tumbo-los-planes-de-alivios-a-los-contribuyentes-y-otros-grupos-3074817
,,,,,,https://www.larepublica.co/finanzas/la-revista-forbes-reconoce-a-sura-como-uno-de-los-mejores-empleadores-del-mundo-3075222
"Hay 50 obras prioritarias de infraestructura para la reactivación con inversión de $11,5 billones","sábado, 17 de octubre de 2020",CONSTRUCCIÓN,Ana María Sánchez - amsanchez@larepublica.com.co,"Los proyectos se desarrollarán en dos estrategias, 28 serán para concluir y los otros 22 comprenden corredores viales para la legalidad","ARTÍCULO RELACIONADOConfis aprobó inversión de $11,5 billones para 50 obras de infraestructura en las regionesLa reactivación económica es uno de los pilares más importantes del Gobierno Nacional, por ende, la noticia de la aprobación de $11,5 billones para 50 obras de infraestructura priorizadas en varios puntos del territorio nacional para 2022, demuestra que este sector será uno de los jalonadores de empleo e inversión en esta nueva normalidad.
La Vicepresidencia de la República dio a conocer la aprobación de los recursos por parte del Consejo Superior de Política Fiscal, los cuales asegurarán la generación de más de 105.000 empleos. Una cifra clave ya que el último dato de desempleo muestra que, aunque la tasa tiende a la baja aún permanece en niveles históricos en cuanto a desocupados y cesantes.
Estas 50 obras hacen parte de dos programas: ‘Concluir y Concluir’, que tiene como objetivo terminar corredores viales y otros proyectos que desde gobiernos pasados seguían inconclusos, y el de ‘Vías para la Legalidad’ en las que están contenidas muchas de las grandes obras públicas necesarias para jalonar el comercio y la economía colombiana.
“Reactivaremos el país con obras que generarán desarrollo con impacto social en las regiones”, expresó Marta Lucía Ramírez, vicepresidente de la República.
ARTÍCULO RELACIONADOEn la Región del Centro del país y en el Pacífico será donde habrá mayor inversión en obrasEn cuanto al programa ‘Concluir y Concluir’ se estructurarán 28 proyectos viales de obra pública en los que se intervendrán 2.000 kilómetros en 19 departamentos. Para esto habrá una inversión de $2,23 billones, de los cuales, $450.000 millones serán para inversión de la Transversal del Pacífico en el Chocó con 43 kilómetros intervenidos, solo esta megaobra se lleva 18% del total que hay disponible.

Además, estas inversiones generarán aproximadamente $110.524 millones mensuales de ingresos a la economía y 39.560 empleos directos.
Para Jairo Espejo, experto en el sector constructor, estas obras por concluir deben ser la tarea primordial para la administración actual. “El esfuerzo grande que tiene el Gobierno en los años que le faltan es que las obras sin concluir se concluyan y gestionar las obras que ya están identificadas”, dijo.
Por otra parte, está el programa ‘Vías para la Legalidad’. Con este, las autoridades pretenden poner en marcha 22 corredores viales con una inversión de $9,2 billones y que jalonará un total de 66.123 empleos directos.
Estas obras tienen proyecciones entre cinco y 10 años para la culminación y pretenden mover mensualmente para la economía $66.608 millones.
LOS CONTRASTESMarta Lucía RamírezVicepresidente de la República“Queremos vías para el campo, para las ciudades, porque así combatimos la pobreza, dinamizamos el comercio, generamos empleo y avanzaremos hacia el desarrollo transversal”.Jairo EspejoExperto en el sector constructor“Las obras que no se han podido cumplir tienen unos cuellos de botella para los que debe haber una mesa de trabajo y así procurar darles cierre. Se debe invertir, pero invertir bien”.
Las obras que más resaltan en este programa y que se llevarán más de 28% del total de la inversión son: La Variante San Francisco Mocoa, con un total de recursos por $1,2 billones y el Túnel GGE y sus respectivas vías de acceso, que necesitarán cerca de $1,4 billones para su construcción.
La adquisición de predios, uno de los problemas que afectan los proyectos
La Vicepresidencia de la República mostró que algunos de los cuellos de botella que afectan la agilidad y viabilidad real del desarrollo de proyectos de infraestructura son la adquisición de predios, el otorgamiento de licencias ambientales, la consulta previa a las comunidades y la asignación de recursos. Por ende, proponen fortalecer el registro único de comunidades ancestrales, coordinar las diferentes entidades del Estado e identificar todos los proyectos de interés nacional, pero que por la coyuntura tienen limitaciones fiscales.",https://www.larepublica.co/economia/hay-50-obras-prioritarias-de-infraestructura-para-la-reactivacion-con-inversion-de-115-billones-3075268
,,,,,,https://www.larepublica.co/globoeconomia/jacinda-ardern-logra-una-historica-victoria-electoral-despues-de-aplastar-al-covid-19-3075680
La ANH publicó los términos definitivos para los Proyectos Piloto de Investigación Integral,"viernes, 16 de octubre de 2020",ENERGÍA,Ana María Sánchez - amsanchez@larepublica.com.co,"De acuerdo con el cronograma propuesto, la adjudicación de los proyectos y la celebración de contratos se hará desde el 23 de noviembre","La Agencia Nacional de Hidrocarburos (ANH) anunció que ya están listos los términos de referencia definitivos para el desarrollo de los proyectos piloto de investigación integral (Ppii). De esta manera, la Agencia fija las condiciones para la asignación de áreas y define el instrumento necesario para la administración y seguimiento de los pilotos de fracking.
ARTÍCULO RELACIONADOANH abrió convocatoria para seleccionar a las empresas que harán los pilotos de fracking en el paísCon base en esto, y de acuerdo con el cronograma propuesto, la adjudicación de los proyectos y la celebración de los contratos respectivos se dará a partir del 23 de noviembre de este año, posteriormente deberán surtirse los procesos de licenciamiento ambiental, requisito indispensable para que los pilotos puedan ejecutarse.
En este sentido, la ANH aseguró que para hacer este proceso más transparente, la información obtenida durante la ejecución de los pilotos se hará pública, y además, tanto el contratista como la misma Agencia estarán obligados a participar en diálogos territoriales con las comunidades y las autoridades locales.
“La ANH seleccionará de manera objetiva los proyectos más favorables a los intereses de la Nación, a partir de los cuales se obtendrá información suficiente y objetiva para tomar decisiones de política pública, basadas en evidencia científica, frente a las implicaciones de la técnica de Fracturamiento Hidráulico.” Afirmó Armando Zamora Reyes, Presidente de la Agencia Nacional de Hidrocarburos.",https://www.larepublica.co/economia/la-anh-publico-los-terminos-definitivos-para-los-proyectos-piloto-de-investigacion-integral-3074968
Viceministro de Hacienda explicó el manejo de los recursos del préstamo del FMI,"viernes, 16 de octubre de 2020",HACIENDA,Margarita Coneo Rincón - mconeo@larepublica.com.co,Explicó que el dinero llegará gradualmente con el fin de favorecer la tasa de cambio nacional y es por un total de US$5.300 millones,"Juan Pablo Zárate, viceministro de Hacienda explicó en una entrevista que el prestamos que el Fondo Monetario Internacional entregaría al país de manera gradual en el marco de la pandemia por US$5.300 millones busca evitar daños en el mercado de divisas y fortalecer la tasa de cambio nacional.
Con tal plan de acción, Colombia sería el primer país en acceder a la línea de crédito flexible del FMI, una modalidad de crédito que no incluye limitaciones en cuanto al gasto de los recursos. En el caso nacional, los fondos se destinarán a los planes de respuesta a la pandemia.
Con una proyección de contracción en la economía nacional cercana al 5,5%, las proyecciones del ministerio apuntan al positivismo, aunque Zárate afirmó que están evaluando las proyecciones para hacer frente con un proyecto más realista.
""Un choque como este implica que uno tenga un gasto más grande, pero tampoco uno se debe dejar llevar por los cantos de sirena que le dicen que cualquier déficit se paga solo o que no hay pensar en la sostenibilidad de largo plazo"", afirmó Zárate. Agregó que solo hasta 2022 que se empezarán a ver balances positivos de la economía.
Según el viceministro el gobierno nacional espera un déficit fiscal de 8,2% del PIB para este año que luego pasaría a 5,1% en 2021.",https://www.larepublica.co/economia/viceministro-de-hacienda-explico-el-manejo-de-los-recursos-del-prestamo-del-fmi-3075225
"Alcaldía de Bogotá pondrá $1,6 billones en seis ejes para nuevo acuerdo social","viernes, 16 de octubre de 2020",HACIENDA,Laura Fernanda Bolaños R. - lbolaños@larepublica.com.co,"La alcaldesa Claudia López manifestó que este paquete costará $3,4 billones, de los cuales la suma de $1,6 billones será entregada por el Distrito","ARTÍCULO RELACIONADOProcuraduría pide a las alcaldías del país verificar cumplimiento de protocolos durante pruebas SaberUn nuevo plan llamado Acuerdo Social por Bogotá, que incluye seis ejes estratégicos, es la apuesta de la alcaldesa de Bogotá, Claudia López, para trabajar en la recuperación económica y social de la capital, y así, de paso, se frene el descontento social que genera manifestaciones contra el Estado.
La mandataria manifestó que este paquete costará $3,4 billones, de los cuales $1,6 billones serán entregados por el Distrito y $1,8 billones se espera que los ponga el Gobierno Nacional.
El primer eje, al que se le destinarán $1,2 billones, estará enfocado en el ingreso mínimo garantizado para hogares en pobreza y vulnerabilidad por medio de la renta básica. En este, el Distrito entregaría $425.047 millones y esperan recibir $863.999 millones más
Educación para los jóvenes será el segundo pilar, para el que se destinarán $695.754 millones. Según la Alcaldesa “esto será para garantizar que no 20.000, sino 60.000 jóvenes tengan acceso a educación superior”.
Una inversión de $385.066 millones será destinada al componente de salud que se enfocará, como explicó López, en “garantizar los subsidios parciales e incrementar los ya existentes, que permiten soportar a la población más vulnerable”.
Al cuarto eje se le destinarán $117.000 millones específicamente para apoyar a las microempresas del país. López afirmó que se pide “incrementar líneas de crédito para empresas e independientes. Se van a ampliar las líneas de crédito con Bancoldex y el Fondo Nacional de Garantías (FNG), pero se debe incluir una línea para independientes”.
Empleo y vivienda será el quinto punto al que se le otorgarán $193.926 millones; y el sexto pilar, con $799.802 millones, irá enfocado a redistribuir el cuidado para mejorar oportunidades laborales de las mujeres.",https://www.larepublica.co/economia/alcaldia-de-bogota-pondra-16-billones-en-seis-ejes-para-nuevo-acuerdo-social-3074564
,,,,,,https://www.larepublica.co/internet-economy/conozca-son-los-pasos-a-tener-en-cuenta-si-quiere-trasladar-su-comercio-a-una-tienda-virtual-3075416
Las teorías de los premios Nobel de Economía para la relación del Estado y las empresas,"sábado, 17 de octubre de 2020",HACIENDA,Juan Sebastian Amaya,La Universidad Nacional analizó las posturas de los galardonados e hizo una serie de comparaciones con los modelos actuales de Colombia,"Un análisis publicado por la Agencia de Noticias de la Universidad Nacional de Colombia aseguró que la teoría de los actuales premios Nobel de Economía, los estadounidenses Paul R. Milgrom y Robert B. Wilson, es clave para la integración del Estado y las empresas.
En este estudio, el doctor en economía de la Universidad Nacional y quien también hizo una estancia posdoctoral en la Universidad de Stanford (Estados Unidos), Óscar Arturo Benavides, manifestó que la teoría de subastas planteada por los galardonados “es más que actual por la continua aparición de nuevos mercados”.
En ese sentido, mencionó el caso de las pruebas y futura asignación de torres 5G, que obligan a los gobiernos a “diseñar cómo van a regular y a hacer mejoras en esos mercados, en los que más de una empresa tiene interés”.
“Las subastas son básicamente mecanismos para obtener resultados. En su versión más coloquial, en una subasta hay un objeto valioso que varios quieren, y quien hace la mejor oferta se queda con él”, señaló Benavides.
Para los dos premios Nobel, en el caso del Estado, como existen varios mercados, por ejemplo el de generación de energía eléctrica o de las telecomunicaciones, en los cuales tiene los derechos, por eso asigna un “ganador” de las subastas públicas que haga.
Al respecto, el profesor Benavides explicó que esa modalidad es la más usada por los gobiernos porque les permite recibir varios interesados, analizar las propuestas, las ventajas, las perspectivas a futuro y seleccionar la opción con la que podrá obtener la máxima ganancia por esos derechos.
En ese sentido, la Universidad Nacional de Colombia planteó que muchos mercados tienen un trasfondo similar, como el portal de ventas en línea eBay, o la subasta de dólares con promesa de recompra del Banco de la República, o, incluso, las licitaciones del Estado, en las cuales el bien a obtener son los derechos de construcción, de trabajo, o de aprovechamiento de recursos.
“Uno de los valores más grandes de la teoría ganadora es que tiene aplicaciones tangibles, ya que una parte importante de la contratación pública está relacionada: grandes proyectos de infraestructura se entregan con licitaciones, las empresas que prestan los servicios de internet de banda ancha, la telefonía móvil, la energía eléctrica lo hacen por ser ganadores de las subastas del Estado”, concluyó.",https://www.larepublica.co/economia/las-teorias-de-los-premios-nobel-de-economia-para-la-relacion-del-estado-y-las-empresas-3075392
Minminas firmó resolución para aumentar en 10% subsidio de gas natural para estratos 1 y 2,"viernes, 16 de octubre de 2020",ENERGÍA,Laura Fernanda Bolaños R. - lbolaños@larepublica.com.co,"El ministro de Minas y Energía, Diego Mesa, informó que este incremento va a beneficiar a más de 2,3 millones de familias colombianas en el estrato 1","Por medio de su cuenta de Twitter, el ministro de Minas y Energía, Diego Mesa, dio a conocer que se firmó una resolución para extender, en octubre, el subsidio adicional y transitorio para las facturas de gas estrato 1 y 2.
Según el ministro, con este incremento ""se va a beneficiar a más de 2,3 millones de familias que usan gas natural en estrato 1 y que normalmente reciben un subsidio de 60% del consumo básico de subsistencia, y ahora van a pasar a recibir 70% por el mes de octubre"".
En lo que respecta a los beneficios de estrato 2, informó que se beneficiarán más de 3,6 millones de familias que, normalmente, reciben un subsidio de 50% del consumo básico y ahora pasarán a recibir subsidio de 60%.
Uno de los puntos que aclaró el jefe de cartera es que ""este es el segundo aumento o extensión que se hace en las facturas de gas natural en 2020, pero hay que tener en cuenta que no es acumulativo frente a lo que se había autorizado en agosto pasado"".
Esta es una de las medidas del paquete de ayudas que ha dado a conocer el Gobierno, pues ""también se otorgaron cuatro meses de gracia para que los usuarios residenciales de los estratos 1 al 4 que decidieron diferir el valor de sus facturas de energía eléctrica y gas combustible por redes, comenzaran a realizar el pago correspondiente"", puntualizó la cartera.",https://www.larepublica.co/economia/minminas-firmo-resolucion-para-aumentar-en-10-subsidio-de-gas-natural-para-estratos-1-y-2-3074969
"“Este ha sido un Gobierno dialogante en los territorios con todos los sectores de la población""","sábado, 17 de octubre de 2020",HACIENDA,Ximena González - xgonzalez@larepublica.com.co,"El Presidente Iván Duque realizó la entrega oficial de 22,25 kilómetros del proyecto de infraestructura vial 4G Rumichaca-Pasto","Durante la entrega oficial de los 22,25 kilómetros del proyecto de infraestructura vial de Cuarta Generación (4G) Rumichaca-Pasto, que demandó una inversión de $307.000 millones, el presidente Iván Duque afirmó que su gobierno es dialogante.
“Este ha sido un Gobierno dialogante en los territorios con todos los sectores de la población. A este Gobierno nadie tiene que hacerle ultimátum, a este Gobierno nadie lo tiene que emplazar porque en el diálogo constructivo hemos demostrado que estamos siempre pensando en la realidad de los ciudadanos”, dijo el mandatario.
De igual forma señaló que ""Nariño tiene aquí un Gobierno que lo quiere, que quiere al departamento y sabemos, además, los retos que tienen muchas comunidades”.
El jefe de estado, luego de estregar esta obra de infraestructura hizo un recorrido aproximado de nueve kilómetros por la unidad funcional número cinco del proyecto y recordó que meses atrás y debido a la pandemia se había hecho la entrega virtual de este importante corredor vial en el sur del país.
Duque además informó que el Gobierno Nacional espera entregar en el primer trimestre de 2021 “la unidad funcional cuatro y la unidad funcional tres, y esperamos que, antes de concluir el primer semestre, estar entregando la unidad funcional número dos para darle vida al proyecto”.
Así mismo, el Mandatario señaló que el desarrollo de esta obra hace parte de sus compromisos de la campaña a la Presidencia, y se refirió a otras iniciativas de infraestructura vial de gran importancia para los nariñenses, las cuales también serán concluidas.
“En este Gobierno vamos a concluir la conexión La Estrella-Río Mataje, la cual esperamos entregar con el Invías el año entrante. También haremos la conexión Junín-Barbacoas, tantos años esperando esa obra y la vamos a culminar en este Gobierno”, dijo el primer mandatario de los colombianos.",https://www.larepublica.co/economia/este-ha-sido-un-gobierno-dialogante-en-los-territorios-con-todos-los-sectores-de-la-poblacion-3075770
